Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,5.427609068,-5.107188649,-5.405878901,-0.152950639,6.03174362,-0.094958957,0.247870046,1.410001712,-0.221813255,-10.60794633,-3.889654723,3.056813033,-1.873701026,3.582254325,0.257489118,-0.971512149,-0.669128988,0.905027625
Afghanistan,AFG,,,,3.713008423,-3.01821978,7.006851412,2.010128995,10.73295811,1.346322865,18.31158707,11.19067791,-2.634349459,9.121968479,2.157238645,-0.493889435,-1.491121322,-0.452986753,0.139699835
Angola,AGO,-0.024041122,0.878294114,9.853362978,-0.578597022,7.057473161,10.98827192,7.639809108,10.0176643,7.274540302,-2.675335855,1.181678531,-0.157160936,4.746546799,1.312474018,1.232061094,-2.458151946,-5.806157907,-3.401621646
Albania,ALB,7.633830038,9.311053274,4.853961613,5.925579185,5.951882136,6.07147654,6.570247117,6.783944691,8.328066674,4.048821511,4.226160913,2.826248686,1.587634572,1.185213112,1.980930018,2.518104393,3.515368567,3.931087706
Andorra,AND,1.913451853,1.517844707,2.354988636,7.366656546,3.324673509,3.825117605,1.794873028,-2.007177578,-9.874044945,-4.375954796,-5.344256802,-3.85184552,-0.039744005,2.392514348,4.298113762,2.404977175,2.855529171,2.291463752
Arab World,ARB,3.299112372,-0.496433188,-1.51255229,3.088316023,6.964293272,3.342034454,4.026480182,2.08652097,3.274489931,-1.971910774,2.314243321,1.247280483,4.255214963,0.897720552,0.265635208,1.160966571,1.170028286,-0.971500887
United Arab Emirates,ARE,4.993252875,-3.817369063,-2.858734403,1.976395713,0.292826708,-6.401402098,-4.043543455,-10.50796174,-9.533910251,-14.7863097,-5.820719174,1.976250918,1.808335779,3.819127535,3.655154373,4.107110948,1.707309749,-0.609202845
Argentina,ARG,-1.885010517,-5.465113906,-11.87718049,7.643794185,7.849106146,7.69268852,6.918027086,7.885851981,2.995167422,-6.880148575,8.99143796,4.902125244,-2.060574637,1.338452934,-3.514195982,1.698944824,-2.784592111,1.870294944
Armenia,ARM,6.570295524,10.23657283,13.81149513,14.64886278,11.10084075,14.60487652,14.06880742,14.73596617,7.812918694,-13.56639792,2.600408784,4.762989356,6.964131302,2.886337177,3.146882342,2.82037882,-0.069477875,7.293323551
American Samoa,ASM,,,,0.155853114,0.288979994,-0.155634548,-3.401960784,3.278954291,-1.122713232,-2.869663016,1.507615499,0.868398308,-4.236589224,-2.891893615,0.708165714,1.065742541,-2.728006298,-5.451169898
Antigua and Barbuda,ATG,4.454102676,-6.6000616,-0.391730945,4.810139797,4.581538524,5.224918786,11.42022306,7.968121904,-1.216003639,-13.14348871,-8.258792286,-3.161464496,2.375039817,-1.173043906,3.545656206,2.934709243,4.502080005,1.973111113
Australia,AUS,2.711261764,0.567906765,2.741314695,1.722713161,2.802328903,1.837368992,1.328328248,3.131075041,1.60111924,-0.156446162,0.477801449,1.037363899,2.09391457,0.888017348,1.039963657,0.888631394,1.233687228,0.25446145
Austria,AUT,3.127436477,0.880261369,1.152671839,0.450948907,2.099709475,1.549878794,2.943417059,3.391730702,1.143308632,-4.016342341,1.592578041,2.57644867,0.22244938,-0.562299551,-0.122368877,0.015506133,0.942067693,1.841009014
